,title,type,url,description,ratings,recent_views,enrolled
41, IT Security: Defense against the digital dark arts  | Coursera,Course,https://www.coursera.org/learn/it-security,"This course covers a wide variety of IT security concepts, tools, and best practices. It introduces threats and attacks and the many ways they can show up. Weâll give you some background of encryption algorithms and how theyâre used to safeguard data. Then, weâll dive into the three As of information security: authentication, authorization, and accounting. Weâll also cover network security solutions, ranging from firewalls to Wifi encryption options. The course is rounded out by putting all these elements together into a multi-layered, in-depth security architecture, followed by recommendations on how to integrate a culture of security into your organization or team.At the end of this course, youâll understand:
â how various encryption algorithms and techniques work as well as their benefits and limitations.
â various authentication systems and types.
â the difference between authentication and authorization.
â how to evaluate potential risks and recommend ways to reduce risk.
â best practices for securing a network.
â how to help others to grasp security concepts and protect themselves.","17,921 ratings","1,684,326 recent views","280,394 already enrolled"
42, Improving Immunity Based on Traditional Eastern Exercises | Coursera,Course,https://www.coursera.org/learn/sjtuyoga,"Exercise is medicine. Regular and moderate exercise can effectively strengthen immune system so as to reduce the risk of virus infection and also improve or assist in the treatment of dysthymic disorders like anxiety and depression. This course provides suggestions for the general public about how to actively respond to the outbreak of novel coronavirus. It also explains: how the immune system reacts when viruses invade into the body; why exercises can enhance immunity and what is the mechanism; what the difference is between western sports and traditional eastern exercises. Besides, the course includes training lessons on Baduanjin, Zhanzhuang, Daoyin, Yoga and other exercises conducive to immunity improvement.      This course is characteristic for its combination of physical education and medicine, so the course will be taught by experts in either sports or medicine. The teaching content covers both disciplinary theory and specific training method, showcasing the unique culture and charm of the East while conducting cross-cultural communication as well as sharing the wisdom of traditional exercises and modern research and application in this regard.",61 ratings,"7,013 recent views","3,733 already enrolled"
43, Impulsando la transformaciÃ³n del marketing digital | Coursera,Course,https://www.coursera.org/learn/impulsando-la-transformacin-del-marketing-digital,"Este curso es el tercero de la especialidad de Marketing digital. Si llegaste hasta este punto eso quiere decir que te interesa mucho el marketing digital y que deseas integrarlo completamente a tu empresa o marca. En este curso se verÃ¡ la importancia que tiene la transformaciÃ³n del marketing digital, ya que como sabrÃ¡s, esta disciplina no es estÃ¡tica, sino que es dinÃ¡mica y cambia contantemente. Veremos que retos lleva esta transformaciÃ³n, asÃ­ como las principales herramientas para superarlos. Te invito a que continÃºes con este curso y espero sea de tu interÃ©s y aplicaciÃ³n. 

â¢	Reconocer la importancia de la transformaciÃ³n del marketing digital en el contexto empresarial.
â¢	Analizar la gestiÃ³n de la marca en la economÃ­a digital para desarrollar la ejecuciÃ³n de la estrategia de marketing digital adecuada y obtener beneficios a la empresa.
â¢	Conocer las principales herramientas e indicadores en el marketing digital para posicionar a la marca en diferentes contextos y lograr una estrategia exitosa.",,"4,719 recent views",
44, Incrementar - Parte 2 y Controlar | Coursera,Course,https://www.coursera.org/learn/incrementar---parte-2-y-controlar,"El curso explora herramientas selectas de las etapas de Mejora y Control de la metodologÃ­a DMAIC de Lean Six Sigma, presentando una mezcla de herramientas cuantitativa y cualitativas. En la etapa de Mejora se busca construir modelos matemÃ¡ticos predictivos a travÃ©s de regresiÃ³n lineal mÃºltiple y regresiÃ³n polinomial; mientras que se introducen las herramientas Lean de Kanban y Mantenimiento Productivo Total (TPM) con el objetivo de mejorar el desempeÃ±o de un proceso a travÃ©s de la estabilidad del mismo al reducir paros por falta de materiales y fallas en los equipos.

En la etapa de Control se introduce el Control EstadÃ­stico de Procesos como una herramienta para monitorear el desempeÃ±o de un sistema para detectar distintos patrones que pueden provocar no conformidades, antes de que el sistema comience a generar artÃ­culos defectuosos. Como herramientas de manufactura esbelta se presentan el Poka Yoke para evitar cometer errores y la tÃ©cnica de reporte A3 para solucionar problemas.


Los objetivos del curso son los siguientes:

â¢	Identificar causas raÃ­z mediante las herramientas cuantitativas. 
â¢	Controlar procesos a travÃ©s de las herramientas estadÃ­sticas. 
â¢	Estabilizar y controlar los procesos a travÃ©s de las herramientas lean.",,"7,623 recent views",
45, IntelÂ® Network Academy - Network Transformation 101 | Coursera,Course,https://www.coursera.org/learn/network-transformation-101,"Welcome to the IntelÂ® Network Academy â a comprehensive training program on network transformation.  In this program, we will be covering the topic areas of software defined infrastructure (SDI) network functions virtualization (NFV), software-defined networking (SDN) and beyond. The Network Academy includes a broad collection of online content and technical training aimed to assist technical professionals in the network industry to improve their knowledge of key IntelÂ® technologies, industry trends, and technical aspects of NFV deployments.After completing this training course, please find Network Transformation 102 offered by IntelÂ® Network Academy to advance your technical expertise.",473 ratings,"18,984 recent views","29,628 already enrolled"
46, IntroducciÃ³n a Facebook Audience Insights,Course,https://www.coursera.org/learn/introduccin-facebook-audience-insights,,,,
47, Introduction to Academic Writing | Coursera,Course,https://www.coursera.org/learn/introduction-to-academic-writing,"Welcome to the Introduction to Academic Writing course! By the end of this course, you will gain an in-depth understanding of reading and writing as essential skills to conduct robust and critical research. This course introduces you to critical reading and writing skills within the conventions of academic writing. In this course, you will learn to effectively communicate your research questions and findings to an interested audience using reading and writing skills. With writing being an important method of thinking, you will learn how the practice of writing allows you to arrive at complex insights about your research area and develop your arguments systematically. This course focuses on the process of developing an argument through the examination of claims and evidence. It also familiarizes you with the structure of academic writing, which will help you better grasp the process of reading academic articles and writing your research. Through a mix of presentations and practice questions, this course provides you with a solid foundation for approaching the process of critical reading and writing in your respective disciplines. It will also cover other writing genres that are relevant to you, including writing for popular media and policy briefs, allowing you to explain how the writing process differs in these areas.",,"20,141 recent views",
48,,,,,,,
49, Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life | Coursera,Course,https://www.coursera.org/learn/know-thyself-the-examined-life,"According to legend, inscribed on walls of the temple on the sacred site of Delphi in Ancient Greece were two premier injunctions: NOTHING IN EXCESS, and KNOW THYSELF. This course will be an examination of the latter injunction in an effort to discover what self-knowledge is, why it might be valuable, and what, if any, limitations it might face. What is missing from a person lacking in self-knowledge that makes her less wise, virtuous, or competent in certain areas than others who have this capacity, and what if anything might she do to fill that gap?  Historical sources as well as recent research in philosophy, experimental social psychology, and neuroscience will inform our investigation, in the course of which we will become students of our own dreams, and cultivate some meditative practices.Learning Outcomes: 
Learners will gain familiarity with prominent themes from Western, classical Chinese, and Buddhist approaches to our knowledge of ourselves. In the course of doing so, they will gain an appreciation of the relation of self-knowledge to wisdom, of the value of intellectual humility, as well as of methods of learning about oneself that do not depend on introspection. 

Learners will also become familiar with contemporary research in experimental social psychology, philosophy, and neuroscience into the emotions, the unconscious, the role of affect in decision making, and self-deception. They will also gain an appreciation of a challenge to the assumption of a coherent, unified self that derives from the Buddhist tradition.

---
This course was created by a partnership between The University of Edinburgh and Humility & Conviction and Public Life Project, an engaged research project  based at the University of Connecticut and funded by a generous grant from the John Templeton Foundation.",507 ratings,"32,381 recent views","51,433 already enrolled"
50,,,,,,,
